lat,lon,time,pitch,roll,yaw,pitch_rate,roll_rate,yaw_rate,kd_gain,kp_gain,ki_gain,ground_speed,altitude,heading,pitch_setpoint,roll_setpoint,heading_setpoint,throttle_setpoint,altitude_setpoint,int_pitch_setpoint,int_roll_setpoint,int_yaw_setpoint,lastCommandSent,errorCodes,cameraStatus,waypointIndex,editing_gain,gpsStatus,batteryLevel,waypointCount
48.509834999935386, -71.64601666644643, 160816.796875, 0.2184903770685196, -2.707484006881714, -39.44935607910156, -0.011186896823346615, 0.03281700983643532, -0.041797954589128494, 0.0, 1.0, 0.0, 0.0, 0.625, 124, 1, 0, 0, -11, 0, 81, 13, 116, 1, 67, 1, 255, 0, 25, 63, 0)
48.509834999935386, -71.64601666644643, 160817.0, 0.19714120030403137, -2.523827075958252, -39.37866973876953, -0.012110603973269463, -0.04651720076799393, -0.02554961107671261, 0.0, 1.0, 0.0, 0.0, 0.625, 124, 1, 0, 0, -11, 0, 84, 13, 118, 1, 67, 0, 255, 0, 25, 63, 0)
48.509834999935386, -71.64601666644643, 160817.203125, 0.3081822693347931, -2.3247082233428955, -39.2752571105957, 0.007954871281981468, 0.02197822369635105, 0.03708091378211975, 0.0, 1.0, 0.0, 0.0, 0.625, 124, 1, 0, 0, -11, 0, 84, 13, 118, 1, 67, 0, 255, 0, 25, 63, 0)
48.509834999935386, -71.64601666644643, 160817.5, 0.28169551491737366, -2.5081844329833984, -39.17380905151367, 0.012029307894408703, 0.016501683741807938, 0.012837146408855915, 0.0, 1.0, 0.0, 0.0, 0.625, 124, 1, 0, 0, -11, 0, 81, 17, 116, 1, 67, 0, 255, 0, 25, 64, 0)
48.509834999935386, -71.64601666644643, 160817.703125, 0.30097782611846924, -2.287090539932251, -38.959083557128906, -0.009783527813851833, 0.0035093859769403934, 0.028157450258731842, 0.0, 1.0, 0.0, 0.0, 0.625, 124, 1, 0, 0, -11, 0, 81, 8, 121, 1, 67, 0, 255, 0, 25, 63, 0)
48.509834999935386, -71.64601666644643, 160817.90625, 0.2775678038597107, -2.2588627338409424, -38.893428802490234, -0.006575014442205429, -0.01827879622578621, -0.013676614500582218, 0.0, 1.0, 0.0, 0.0, 0.625, 124, 1, 0, 0, -11, 0, 81, 8, 121, 1, 67, 0, 255, 0, 25, 63, 0)
48.509834999935386, -71.64601666644643, 160818.09375, 0.2627077102661133, -2.3408610820770264, -38.83838653564453, 0.01388077437877655, 0.007124228402972221, 0.06105344370007515, 0.0, 1.0, 0.0, 0.0, 0.625, 124, 1, 0, 0, -11, 0, 81, 17, 116, 1, 67, 1, 255, 0, 25, 63, 0)
48.509834999935386, -71.64601666644643, 160818.296875, 0.2567897439002991, -2.28112530708313, -38.7730598449707, -0.004854699596762657, -0.055209968239068985, -0.030422233045101166, 0.0, 1.0, 0.0, 0.0, -0.0625, 124, 1, 0, 0, -11, 0, 84, 13, 118, 1, 67, 1, 255, 0, 25, 63, 0)
48.509834999935386, -71.64601666644643, 160818.5, 0.2540591359138489, -2.150477170944214, -38.74264144897461, -0.0018276521004736423, 0.005041956435889006, 0.002405430655926466, 0.0, 1.0, 0.0, 0.0, -0.0625, 124, 1, 0, 0, -11, 0, 81, 13, 121, 1, 67, 1, 255, 0, 25, 63, 0)
48.509834999935386, -71.64601666644643, 160818.796875, 0.22002018988132477, -2.2964305877685547, -38.84238815307617, -0.0031608636491000652, 0.01743781752884388, -0.020548922941088676, 0.0, 1.0, 0.0, 0.0, -0.0625, 124, 1, 0, 0, -11, 0, 81, 13, 121, 1, 67, 1, 255, 0, 25, 63, 0)
48.509834999935386, -71.64601666644643, 160819.203125, 0.07493599504232407, -2.4977571964263916, -39.26276779174805, -0.007633191533386707, -0.014606290496885777, -0.01618267223238945, 0.0, 1.0, 0.0, 0.0, 1.25, 124, 1, 0, 0, -11, 0, 81, 13, 116, 4200, 67, 1, 255, 0, 24, 64, 0)
48.509834999935386, -71.64601666644643, 160819.40625, -0.0066742682829499245, -3.021991729736328, -40.45087814331055, -0.017413128167390823, -0.06563892960548401, -0.12612083554267883, 0.0, 1.0, 0.0, 0.0, 1.25, 124, 1, 0, 0, -11, 0, 84, 13, 118, 4200, 67, 0, 255, 0, 25, 63, 0)
48.509834999935386, -71.64601666644643, 160819.59375, -0.16523957252502441, -3.209540843963623, -41.122352600097656, 0.007682655937969685, 0.02375173196196556, 0.031443435698747635, 0.0, 1.0, 0.0, 0.0, 1.25, 124, 1, 0, 0, -11, 0, 81, 17, 116, 4300, 67, 0, 255, 0, 25, 63, 0)
48.509834999935386, -71.64601666644643, 160819.90625, 0.016613900661468506, -2.5883164405822754, -40.47938537597656, -0.004893164150416851, 0.00882966909557581, 0.00868926476687193, 0.0, 1.0, 0.0, 0.0, 1.25, 124, 1, 0, 0, -11, 0, 84, 13, 118, 4300, 67, 0, 255, 0, 25, 64, 0)
48.509834999935386, -71.64601666644643, 160820.09375, -0.01067174319177866, -2.646594524383545, -40.438079833984375, 0.003300475189462304, 0.030557135120034218, 0.007595638278871775, 0.0, 1.0, 0.0, 0.0, 1.25, 124, 1, 0, 0, -11, 0, 84, 13, 118, 4300, 67, 0, 255, 0, 25, 63, 0)
48.509834999935386, -71.64601666644643, 160820.296875, -0.02150474302470684, -2.6969451904296875, -40.47374725341797, -0.0017362944781780243, -0.0055800387635827065, -0.0033144261687994003, 0.0, 1.0, 0.0, 0.0, 1.1875, 124, 1, 0, 0, -11, 0, 84, 17, 118, 4300, 67, 0, 255, 0, 25, 63, 0)
